scientific_name	display_name	id	version	datasources	ncbi
Acanthocheilonema viteae	Acanthocheilonema viteae (PRJEB1697)	acviteprjeb1697	ASM90053725v1 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	6277
Acanthochromis polyacanthus	Spiny chromis	apolyacanthus	ASM210954v1	GO:MF, GO:CC, GO:BP, HP	80966
Acrobeloides nanus	Acrobeloides nanus (PRJEB26554)	acnanuprjeb26554	v1 (2018-08-WormBase)	GO:MF, GO:CC, GO:BP	290746
Actinia equina	Actinia equina (AE1) - GCA_011057435.1	aegca011057435	equina_smartden.arrow4.noredun	GO:MF, GO:CC, GO:BP	6106
Actinidia chinensis var. chinensis	Actinidia chinensis	achinensis	Red5_PS1_1.69.0	GO:MF, GO:CC, GO:BP	1590841
Acyrthosiphon pisum	Acyrthosiphon pisum (AL4f)	apisum	pea_aphid_22Mar2018_4r6ur	GO:MF, GO:CC, GO:BP, KEGG	7029
Adineta vaga	Adineta vaga	avaga	AMS_PRJEB1171_v1	GO:MF, GO:CC, GO:BP	104782
Aedes aegypti	Aedes aegypti (LVP_AGWG)	aalvpagwg	AaegL5	GO:MF, GO:CC, GO:BP, KEGG	7159
Aedes albopictus	Aedes albopictus	aalbopictus	AaloF1	GO:MF, GO:CC, GO:BP, KEGG	7160
Aegilops tauschii subsp. strangulata	Aegilops tauschii	atauschii	Aet v4.0	GO:MF, GO:CC, GO:BP	200361
Agrilus planipennis	Agrilus planipennis (Emerald ash borer, EAB-ADULT) - GCA_000699045.2	apgca000699045v2	Apla_2.0	GO:MF, GO:CC, GO:BP	224129
Ailuropoda melanoleuca	Giant panda	amelanoleuca	ASM200744v2	GO:MF, GO:CC, GO:BP, KEGG, HP	9646
Albugo laibachii Nc14	Albugo laibachii	alaibachii	ENA 1	GO:MF, GO:CC, GO:BP	890382
Amborella trichopoda	Amborella trichopoda	atrichopoda	AMTR1.0	GO:MF, GO:CC, GO:BP, KEGG	13333
Amphilophus citrinellus	Midas cichlid	acitrinellus	Midas_v5	GO:MF, GO:CC, GO:BP, HP	61819
Amphimedon queenslandica	Amphimedon queenslandica	aqueenslandica	Aqu1	GO:MF, GO:CC, GO:BP, KEGG	400682
Amphiprion ocellaris	Clown anemonefish	aocellaris	AmpOce1.0	GO:MF, GO:CC, GO:BP, HP	80972
Amphiprion percula	Orange clownfish	apercula	Nemo_v1	GO:MF, GO:CC, GO:BP, HP	161767
Anabas testudineus	Climbing perch	atestudineus	fAnaTes1.2	GO:MF, GO:CC, GO:BP, HP	64144
Ananas comosus	Ananas comosus	acomosus	F153	GO:MF, GO:CC, GO:BP	4615
Anas platyrhynchos	Mallard	aplatyrhynchos	ASM874695v1	GO:MF, GO:CC, GO:BP, KEGG	8839
Anas platyrhynchos platyrhynchos	Duck	applatyrhynchos	CAU_duck1.0	GO:MF, GO:CC, GO:BP, HP	8840
Ancylostoma caninum	Ancylostoma caninum (PRJNA72585)	ancaniprjna72585	A_caninum_9.3.2.ec.cg.pg (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	29170
Ancylostoma ceylanicum	Ancylostoma ceylanicum (PRJNA231479)	anceylprjna231479	Acey_2013.11.30.genDNA (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	53326
Ancylostoma ceylanicum	Ancylostoma ceylanicum (PRJNA72583)	anceylprjna72583	A_ceylanicum1.3.ec.cg.pg (2020-04-WormBase)	GO:MF, GO:CC, GO:BP	53326
Ancylostoma duodenale	Ancylostoma duodenale (PRJNA72581)	anduodprjna72581	A_duodenale_2.2.ec.cg.pg (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	51022
Angiostrongylus cantonensis	Angiostrongylus cantonensis (PRJEB493)	ancantprjeb493	A_cantonensis_Taipei_v1_5_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	6313
Angiostrongylus cantonensis	Angiostrongylus cantonensis (PRJNA350391)	ancantprjna350391	ACgenome_NGS_v2 (2020-03-WormBase)	GO:MF, GO:CC, GO:BP	6313
Angiostrongylus costaricensis	Angiostrongylus costaricensis (PRJEB494)	ancostprjeb494	A_costaricensis_Costa_Rica_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	334426
Angiostrongylus vasorum	Angiostrongylus vasorum (PRJNA663250)	anvasoprjna663250	UZH_Avas_1.0 (2021-10-WormBase)	GO:MF, GO:CC, GO:BP	321387
Anisakis simplex	Anisakis simplex (PRJEB496)	ansimpprjeb496	A_simplex_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	6269
Anneissia japonica	Anneissia japonica (Sea lily, Jap-2015-1) - GCA_011630105.1	ajgca011630105v1	GCA011630105v1	GO:MF, GO:CC, GO:BP	1529436
Anolis carolinensis	Green anole	acarolinensis	AnoCar2.0v2	GO:MF, GO:CC, GO:BP, KEGG, HP	28377
Anopheles albimanus	Anopheles albimanus	aalbimanus	AalbS2	GO:MF, GO:CC, GO:BP	7167
Anopheles arabiensis	Anopheles arabiensis	aarabiensis	AaraD1	GO:MF, GO:CC, GO:BP	7173
Anopheles atroparvus	Anopheles atroparvus	aatroparvus	AatrE3	GO:MF, GO:CC, GO:BP	41427
Anopheles atroparvus	Anopheles atroparvus (EBRE) - GCA_914969975.1	aagca914969975	atroparvus_hifiasm_n225_277Mb	GO:MF, GO:CC, GO:BP	41427
Anopheles christyi	Anopheles christyi	achristyi	AchrA1	GO:MF, GO:CC, GO:BP	43041
Anopheles coluzzii	Anopheles coluzzii	acoluzzii	AcolM1	GO:MF, GO:CC, GO:BP	1518534
Anopheles coluzzii	Anopheles coluzzii (Ngousso)	acngousso	AcolN1	GO:MF, GO:CC, GO:BP	1518534
Anopheles culicifacies	Anopheles culicifacies	aculicifacies	AculA1	GO:MF, GO:CC, GO:BP	139723
Anopheles darlingi	Anopheles darlingi	adarlingi	AdarC3	GO:MF, GO:CC, GO:BP	43151
Anopheles dirus	Anopheles dirus	adirus	AdirW1	GO:MF, GO:CC, GO:BP	7168
Anopheles epiroticus	Anopheles epiroticus	aepiroticus	AepiE1	GO:MF, GO:CC, GO:BP	199890
Anopheles farauti	Anopheles farauti	afarauti	AfarF2	GO:MF, GO:CC, GO:BP	69004
Anopheles funestus	Anopheles funestus	afunestus	AfunF3	GO:MF, GO:CC, GO:BP	62324
Anopheles gambiae	Anopheles gambiae	agambiae	AgamP4	GO:MF, GO:CC, GO:BP, KEGG	7165
Anopheles maculatus	Anopheles maculatus	amaculatus	AmacM1	GO:MF, GO:CC, GO:BP	74869
Anopheles melas	Anopheles melas	amelas	AmelC2	GO:MF, GO:CC, GO:BP	34690
Anopheles merus	Anopheles merus	amerus	AmerM2	GO:MF, GO:CC, GO:BP	30066
Anopheles minimus	Anopheles minimus	aminimus	AminM1	GO:MF, GO:CC, GO:BP	112268
Anopheles quadriannulatus	Anopheles quadriannulatus	aquadriannulatus	AquaS1	GO:MF, GO:CC, GO:BP	34691
Anopheles sinensis	Anopheles sinensis	asinensis	AsinS2	GO:MF, GO:CC, GO:BP	74873
Anopheles sinensis	Anopheles sinensis (China)	aschina	AsinC2	GO:MF, GO:CC, GO:BP	74873
Anopheles stephensi	Anopheles stephensi	astephensi	AsteS1	GO:MF, GO:CC, GO:BP	30069
Anopheles stephensi	Anopheles stephensi (Indian)	asindian	AsteI2	GO:MF, GO:CC, GO:BP	30069
Anoplophora glabripennis	Anoplophora glabripennis (ALB-LARVAE)	aglabripennis	Agla_2.0	GO:MF, GO:CC, GO:BP	217634
Anser brachyrhynchus	Pink-footed goose	abrachyrhynchus	ASM259213v1	GO:MF, GO:CC, GO:BP, HP	132585
Aotus nancymaae	Ma's night monkey	anancymaae	Anan_2.0	GO:MF, GO:CC, GO:BP, HP	37293
Aphanomyces astaci	Aphanomyces astaci	aastaci	GCA000520075v1	GO:MF, GO:CC, GO:BP	112090
Aphanomyces invadans	Aphanomyces invadans	ainvadans	GCA000520115v1	GO:MF, GO:CC, GO:BP	157072
Aphidius gifuensis	Aphidius gifuensis (Parasitoid wasp, YNYX2018) - GCA_014905175.1	aggca014905175v1	GCA014905175v1	GO:MF, GO:CC, GO:BP	684658
Apis mellifera	Apis mellifera (DH4)	amellifera	Amel_HAv3.1	GO:MF, GO:CC, GO:BP, KEGG	7460
Aplysia californica	Aplysia californica (California sea hare, F4 #8) - GCA_000002075.2	acgca000002075v2	AplCal3.0	GO:MF, GO:CC, GO:BP	6500
Aquila chrysaetos chrysaetos	Golden eagle	acchrysaetos	bAquChr1.2	GO:MF, GO:CC, GO:BP, HP	223781
Arabidopsis halleri subsp. gemmifera	Arabidopsis halleri	ahalleri	Ahal2.2	GO:MF, GO:CC, GO:BP	63677
Arabidopsis lyrata subsp. lyrata	Arabidopsis lyrata	alyrata	v.1.0	GO:MF, GO:CC, GO:BP, KEGG	81972
Arabidopsis thaliana	Arabidopsis thaliana	athaliana	TAIR10	GO:MF, GO:CC, GO:BP, KEGG, MIRNA, WP	3702
Arabis alpina	Arabis alpina	aalpina	A_alpina_V4	GO:MF, GO:CC, GO:BP	50452
Ascaris lumbricoides	Ascaris lumbricoides (PRJEB4950)	aslumbprjeb4950	A_lumbricoides_Ecuador_v1_5_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	6252
Ascaris suum	Ascaris suum (PRJNA62057)	assuumprjna62057	ASM18702v3 (2018-04-WormBase)	GO:MF, GO:CC, GO:BP	6253
Ascaris suum	Ascaris suum (PRJNA62057)	asuum	ASM18702v3	GO:MF, GO:CC, GO:BP	6253
Ascaris suum	Ascaris suum (PRJNA80881)	assuumprjna80881	AscSuum_1.0_submitted (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	6253
Asparagus officinalis	Asparagus officinalis	aofficinalis	Aspof.V1	GO:MF, GO:CC, GO:BP	4686
Aspergillus clavatus NRRL 1	Aspergillus clavatus NRRL 1	aclavatus	ASM271v1	GO:MF, GO:CC, GO:BP, KEGG	344612
Aspergillus fischeri NRRL 181	Aspergillus fischeri NRRL 181	nfischeri	ASM14964v1	GO:MF, GO:CC, GO:BP, KEGG	331117
Aspergillus flavus NRRL3357	Aspergillus flavus NRRL3357	aflavus	JCVI-afl1-v2.0	GO:MF, GO:CC, GO:BP, KEGG	332952
Aspergillus fumigatus A1163	Aspergillus fumigatus A1163	afumigatusa1163	ASM15014v1	GO:MF, GO:CC, GO:BP	451804
Aspergillus fumigatus Af293	Aspergillus fumigatus Af293	afumigatus	ASM265v1	GO:MF, GO:CC, GO:BP, KEGG	330879
Aspergillus nidulans FGSC A4	Aspergillus nidulans	anidulans	ASM1142v1	GO:MF, GO:CC, GO:BP, KEGG	227321
Aspergillus niger	Aspergillus niger	aniger	ASM285v2	GO:MF, GO:CC, GO:BP	5061
Aspergillus oryzae RIB40	Aspergillus oryzae RIB40	aoryzae	ASM18445v3	GO:MF, GO:CC, GO:BP, KEGG	510516
Aspergillus terreus NIH2624	Aspergillus terreus NIH2624	aterreus	ASM14961v1	GO:MF, GO:CC, GO:BP	341663
Astatotilapia calliptera	Eastern happy	acalliptera	fAstCal1.2	GO:MF, GO:CC, GO:BP, HP	8154
Astyanax mexicanus	Mexican tetra	amexicanus	Astyanax_mexicanus-2.0	GO:MF, GO:CC, GO:BP, KEGG, HP	7994
Athalia rosae	Athalia rosae (Coleseed sawfly, CS-ADULT) - GCA_000344095.2	argca000344095v2	Aros_2.0	GO:MF, GO:CC, GO:BP	37344
Atriophallophorus winterbourni	Atriophallophorus winterbourni (PRJNA636673)	atwintprjna636673	ASM1340708v1 (2021-03-WormBase)	GO:MF, GO:CC, GO:BP	2682772
Atta cephalotes	Atta cephalotes	acephalotes	Attacep1.0	GO:MF, GO:CC, GO:BP, KEGG	12957
Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly, Punador) - GCA_000789215.2	bdgca000789215v2	GCA000789215v2	GO:MF, GO:CC, GO:BP	27457
Bactrocera latifrons	Bactrocera latifrons (Solanum fruit fly, USDA-ARS-PBARC rearing strain) - GCA_001853355.1	blgca001853355v1	GCA001853355v1	GO:MF, GO:CC, GO:BP	174628
Bactrocera tryoni	Bactrocera tryoni (Queensland fruitfly, S06) - GCA_016617805.2	btgca016617805v2	CSIRO_BtryS06_freeze1	GO:MF, GO:CC, GO:BP	59916
Balaenoptera musculus	Blue whale	bmusculus	mBalMus1.v2	GO:MF, GO:CC, GO:BP, HP	9771
Beauveria bassiana	Beauveria bassiana	bbassiana	ASM168263v1	GO:MF, GO:CC, GO:BP	176275
Belgica antarctica	Belgica antarctica	bantarctica	ASM77530v1	GO:MF, GO:CC, GO:BP	315563
Bemisia tabaci	Bemisia tabaci (ASIAII-5)	btasiaii5	ASIAII5_n227_616Mb	GO:MF, GO:CC, GO:BP	7038
Bemisia tabaci	Bemisia tabaci (SSA1-SG1 NG)	btssa1nig	SSA1SG1_Nigeria_n4493_656Mb	GO:MF, GO:CC, GO:BP	7038
Bemisia tabaci	Bemisia tabaci (SSA1-SG1 UG)	btssa1ug	SSA1_SG1_Uganda_n955_657Mb	GO:MF, GO:CC, GO:BP	7038
Bemisia tabaci	Bemisia tabaci (SSA2 NG)	btssa2nig	SSA2_Nigeria_n785_625mb	GO:MF, GO:CC, GO:BP	7038
Bemisia tabaci	Bemisia tabaci (SSA3 NG)	btssa3nig	SSA3_Nigeria_2278n_648mb	GO:MF, GO:CC, GO:BP	7038
Bemisia tabaci	Bemisia tabaci (Uganda 1)	btsweetpotug	Uganda1_n5713_630Mb	GO:MF, GO:CC, GO:BP	7038
Beta vulgaris subsp. vulgaris	Beta vulgaris	bvulgaris	RefBeet-1.2.2	GO:MF, GO:CC, GO:BP, KEGG	3555
Betta splendens	Siamese fighting fish	bsplendens	fBetSpl5.2	GO:MF, GO:CC, GO:BP, HP	158456
Bigelowiella natans CCMP2755	Bigelowiella natans	bnatans	Bigna1	GO:MF, GO:CC, GO:BP	753081
Biomphalaria glabrata	Biomphalaria glabrata	bglabrata	BglaB1	GO:MF, GO:CC, GO:BP	6526
Bison bison bison	American bison	bbbison	Bison_UMD1.0	GO:MF, GO:CC, GO:BP, HP	43346
Blumeria hordei DH14	Blumeria graminis	bgraminis	EF2	GO:MF, GO:CC, GO:BP	546991
Bombus impatiens	Bombus impatiens	bimpatiens	BIMP_2.2	GO:MF, GO:CC, GO:BP, KEGG	132113
Bombus terrestris	Bombus terrestris	bterrestris	Bter_1.0	GO:MF, GO:CC, GO:BP, KEGG	30195
Bombyx mori	Bombyx mori (p50T)	bmori	Bmori_2016v1.0	GO:MF, GO:CC, GO:BP, KEGG, MIRNA	7091
Bos grunniens	Domestic yak	bgrunniens	LU_Bosgru_v3.0	GO:MF, GO:CC, GO:BP, HP	30521
Bos indicus x Bos taurus	Hybrid - Bos Indicus	bihybrid	UOA_Brahman_1	GO:MF, GO:CC, GO:BP, HP	30522
Bos mutus	Wild yak	bmutus	BosGru_v2.0	GO:MF, GO:CC, GO:BP, KEGG, HP	72004
Bos taurus	Cow	btaurus	ARS-UCD1.2	GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, CORUM, HP, WP	9913
Botrytis cinerea B05.10	Botrytis cinerea B05.10	bcinerea	ASM83294v1	GO:MF, GO:CC, GO:BP, KEGG	332648
Brachypodium distachyon	Brachypodium distachyon	bdistachyon	Brachypodium_distachyon_v3.0	GO:MF, GO:CC, GO:BP, KEGG	15368
Branchiostoma lanceolatum	Branchiostoma lanceolatum	blanceolatum	BraLan2	GO:MF, GO:CC, GO:BP	7740
Brassica napus	Brassica napus	bnapus	AST_PRJEB5043_v1	GO:MF, GO:CC, GO:BP, KEGG	3708
Brassica oleracea var. oleracea	Brassica oleracea	boleracea	BOL	GO:MF, GO:CC, GO:BP, KEGG	109376
Brassica rapa	Brassica rapa	brapa	Brapa_1.0	GO:MF, GO:CC, GO:BP, KEGG	3711
Brassica rapa subsp. trilocularis	Brassica rapa R-o-18	brro18	SCU_BraROA_2.3	GO:MF, GO:CC, GO:BP	1813537
Brugia malayi	Brugia malayi (PRJNA10729)	bmalayi	Bmal-4.0	GO:MF, GO:CC, GO:BP, KEGG	6279
Brugia malayi	Brugia malayi (PRJNA10729) [WS282]	brmalaprjna10729	Bmal-4.0 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6279
Brugia pahangi	Brugia pahangi (PRJEB497)	brpahaprjeb497	B_pahangi_Glasgow_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	6280
Brugia timori	Brugia timori (PRJEB4663)	brtimoprjeb4663	B_timori_Indonesia_v1_0_4_001_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	42155
Bursaphelenchus okinawaensis	Bursaphelenchus okinawaensis (PRJEB40023)	buokinprjeb40023	BOKI2 (2021-03-WormBase)	GO:MF, GO:CC, GO:BP	465554
Bursaphelenchus xylophilus	Bursaphelenchus xylophilus (PRJEA64437)	buxyloprjea64437	ASM23113v1_submitted (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	6326
Bursaphelenchus xylophilus	Bursaphelenchus xylophilus (PRJEB40022)	buxyloprjeb40022	BXYJ5 (2021-03-WormBase)	GO:MF, GO:CC, GO:BP	6326
Caenorhabditis angaria	Caenorhabditis angaria (PRJNA51225)	caangaprjna51225	13mar2012 (2012-12-Caltech)	GO:MF, GO:CC, GO:BP	860376
Caenorhabditis becei	Caenorhabditis becei (PRJEB28243)	cabeceprjeb28243	CBECE_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2301260
Caenorhabditis bovis	Caenorhabditis bovis (PRJEB34497)	caboviprjeb34497	CBOVIS_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2654633
Caenorhabditis brenneri	Caenorhabditis brenneri (PRJNA20035)	cbrenneri	C_brenneri-6.0.1b	GO:MF, GO:CC, GO:BP	135651
Caenorhabditis brenneri	Caenorhabditis brenneri (PRJNA20035) [WS282]	cabrenprjna20035	C_brenneri-6.0.1b (WS279)	GO:MF, GO:CC, GO:BP	135651
Caenorhabditis briggsae	Caenorhabditis briggsae (PRJNA10731)	cbriggsae	CB4	GO:MF, GO:CC, GO:BP, KEGG	6238
Caenorhabditis briggsae	Caenorhabditis briggsae (PRJNA10731) [WS282]	cabrigprjna10731	CB4 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6238
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758)	celegans	WBcel235	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	6239
Caenorhabditis elegans	Caenorhabditis elegans (PRJNA13758) [WS282]	caelegprjna13758	WBcel235 (WS282)	GO:MF, GO:CC, GO:BP, KEGG	6239
Caenorhabditis inopinata	Caenorhabditis inopinata (PRJDB5687)	cainopprjdb5687	Sp34_v7 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	1978547
Caenorhabditis japonica	Caenorhabditis japonica (PRJNA12591) [WS282]	cajapoprjna12591	C_japonica-7.0.1 (WS279)	GO:MF, GO:CC, GO:BP	281687
Caenorhabditis latens	Caenorhabditis latens (PRJNA248912)	calateprjna248912	CaeLat1.0 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	1503980
Caenorhabditis nigoni	Caenorhabditis nigoni (PRJNA384657)	canigoprjna384657	nigoni.pc_2016.07.14 (2018-01-WormBase)	GO:MF, GO:CC, GO:BP	1611254
Caenorhabditis panamensis	Caenorhabditis panamensis (PRJEB28259)	capanaprjeb28259	CPANA_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	2301259
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248909)	caremaprjna248909	ASM164373v2 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA248911)	caremaprjna248911	CaeRem1.0 (2018-05-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA53967)	cremanei	C_remanei-15.0.1	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA53967) [WS282]	caremaprjna53967	C_remanei-15.0.1 (WS279)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis remanei	Caenorhabditis remanei (PRJNA577507)	caremaprjna577507	CRPX506 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	31234
Caenorhabditis sinica	Caenorhabditis sinica (PRJNA194557)	casiniprjna194557	1.0 (2011-12-Edinburgh)	GO:MF, GO:CC, GO:BP	1550068
Caenorhabditis sp. 21 LS-2015	Caenorhabditis parvicauda (PRJEB12595)	caparvprjeb12595	CPARV_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737332
Caenorhabditis sp. 26 LS-2015	Caenorhabditis zanzibari (PRJEB12596)	cazanzprjeb12596	CZANZ_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737333
Caenorhabditis sp. 31 LS-2015	Caenorhabditis uteleia (PRJEB12600)	cautelprjeb12600	CUTEL_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737334
Caenorhabditis sp. 32 LS-2015	Caenorhabditis sulstoni (PRJEB12601)	casulsprjeb12601	CSULS_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737335
Caenorhabditis sp. 38 MB-2015	Caenorhabditis quiockensis (PRJEB11354)	caquioprjeb11354	CQUIO_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1729975
Caenorhabditis sp. 39 LS-2015	Caenorhabditis waitukubuli (PRJEB12602)	cawaitprjeb12602	CWAIT_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737336
Caenorhabditis sp. 40 LS-2015	Caenorhabditis tribulationis (PRJEB12608)	catribprjeb12608	CTRIB_v1 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	1737337
Caenorhabditis tropicalis	Caenorhabditis tropicalis (PRJNA53597)	catropprjna53597	Caenorhabditis_sp11_JU1373-3.0.1 (2011-04-WormBase)	GO:MF, GO:CC, GO:BP	1561998
Callithrix jacchus	White-tufted-ear marmoset	cjacchus	mCalJac1.pat.X	GO:MF, GO:CC, GO:BP, KEGG, HP	9483
Callorhinchus milii	Elephant shark	cmilii	Callorhinchus_milii-6.1.3	GO:MF, GO:CC, GO:BP, HP	7868
Camelina sativa	Camelina sativa	csativa	Cs	GO:MF, GO:CC, GO:BP, KEGG	90675
Camelus dromedarius	Arabian camel	cdromedarius	CamDro2	GO:MF, GO:CC, GO:BP, KEGG, HP	9838
Candida albicans SC5314	Candida albicans	calbicans	GCA000182965v3	GO:MF, GO:CC, GO:BP	237561
[Candida] auris	Candida auris	cauris	GCA002759435v2	GO:MF, GO:CC, GO:BP	498019
[Candida] duobushaemulonis	Candida duobushaemulonis	cduobushaemulonis	GCA002926085v1	GO:MF, GO:CC, GO:BP	1231522
