scientific_name	display_name	id	version	datasources	ncbi
[Candida] glabrata CBS 138	Candida glabrata	cglabrata	GCA000002545v2	GO:MF, GO:CC, GO:BP	284593
[Candida] haemuloni	[Candida] haemuloni	chaemuloni	GCA002926055v1	GO:MF, GO:CC, GO:BP	45357
Candida parapsilosis CDC317	Candida parapsilosis	cparapsilosis	GCA000182765v2	GO:MF, GO:CC, GO:BP	578454
[Candida] pseudohaemulonii	[Candida] pseudohaemulonii	cpseudohaemulonis	GCA003013735v1	GO:MF, GO:CC, GO:BP	418784
Candida tropicalis MYA-3404	Candida tropicalis	ctropicalis	GCA000006335v3	GO:MF, GO:CC, GO:BP	294747
Canis lupus dingo	Dingo	cldingo	ASM325472v1	GO:MF, GO:CC, GO:BP, HP	286419
Canis lupus familiaris	Dog	clfamiliaris	ROS_Cfam_1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	9615
Cannabis sativa	Cannabis sativa female	csfemale	cs10	GO:MF, GO:CC, GO:BP	3483
Capitella teleta	Capitella teleta	cteleta	Capitella teleta v1.0	GO:MF, GO:CC, GO:BP	283909
Capra hircus	Goat	chircus	ARS1	GO:MF, GO:CC, GO:BP, KEGG, HP	9925
Capsicum annuum	Capsicum annuum	cannuum	ASM51225v2	GO:MF, GO:CC, GO:BP, KEGG	4072
Carassius auratus	Goldfish	cauratus	ASM336829v1	GO:MF, GO:CC, GO:BP, HP	7957
Carlito syrichta	Tarsier	csyrichta	Tarsius_syrichta-2.0.1	GO:MF, GO:CC, GO:BP, HP	1868482
Catagonus wagneri	Chacoan peccary	cwagneri	CatWag_v2_BIUU_UCD	GO:MF, GO:CC, GO:BP, HP	51154
Cavia porcellus	Guinea Pig	cporcellus	Cavpor3.0	GO:MF, GO:CC, GO:BP, HP	10141
Cebus imitator	Capuchin	ccapucinus	Cebus_imitator-1.0	GO:MF, GO:CC, GO:BP, HP	2715852
Centruroides sculpturatus	Centruroides sculpturatus (CEXI.00-Female) - GCA_000671375.2	csgca000671375v2	Cexi_2.0	GO:MF, GO:CC, GO:BP	218467
Ceratitis capitata	Ceratitis capitata (Mediterranean fruit fly) - GCA_000347755.4	ccgca000347755v4	Ccap_2.0	GO:MF, GO:CC, GO:BP	7213
Cercocebus atys	Sooty mangabey	catys	Caty_1.0	GO:MF, GO:CC, GO:BP, HP	9531
Cercopithifilaria johnstoni	Cercopithifilaria johnstoni (PRJEB47283)	cejohnprjeb47283	SD210906 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	2874296
Cervus hanglu yarkandensis	Yarkand deer	chyarkandensis	CEY_v1	GO:MF, GO:CC, GO:BP, HP	84702
Chara braunii	Chara braunii	cbraunii	Cbr_1.0	GO:MF, GO:CC, GO:BP	69332
Chelonoidis abingdonii	Abingdon island giant tortoise	cabingdonii	ASM359739v1	GO:MF, GO:CC, GO:BP, HP	106734
Chenopodium quinoa	Chenopodium quinoa	cquinoa	ASM168347v1	GO:MF, GO:CC, GO:BP	63459
Chinchilla lanigera	Long-tailed chinchilla	clanigera	ChiLan1.0	GO:MF, GO:CC, GO:BP, HP	34839
Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	creinhardtii	Chlamydomonas_reinhardtii_v5.5	GO:MF, GO:CC, GO:BP, KEGG	3055
Chlorocebus sabaeus	Vervet-AGM	csabaeus	ChlSab1.1	GO:MF, GO:CC, GO:BP, KEGG, HP	60711
Choloepus hoffmanni	Sloth	choffmanni	choHof1	GO:MF, GO:CC, GO:BP, HP	9358
Chondrus crispus	Chondrus crispus	ccrispus	ASM35022v2	GO:MF, GO:CC, GO:BP, KEGG	2769
Chrysemys picta bellii	Painted turtle	cpbellii	Chrysemys_picta_bellii-3.0.3	GO:MF, GO:CC, GO:BP, KEGG, HP	8478
Cimex lectularius	Cimex lectularius (Harlan)	clectularius	Clec_2.0	GO:MF, GO:CC, GO:BP, KEGG	79782
Ciona intestinalis	C.intestinalis	cintestinalis	KH	GO:MF, GO:CC, GO:BP, KEGG, HP	7719
Ciona savignyi	C.savignyi	csavignyi	CSAV 2.0	GO:MF, GO:CC, GO:BP, HP	51511
Citrullus lanatus	Citrullus lanatus	clanatus	Cla97_v1	GO:MF, GO:CC, GO:BP	3654
Citrus clementina	Citrus clementina	cclementina	Citrus_clementina_v1.0	GO:MF, GO:CC, GO:BP, KEGG	85681
Clonorchis sinensis	Clonorchis sinensis (PRJDA72781)	clsineprjda72781	C_sinensis-2.0 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	79923
Clonorchis sinensis	Clonorchis sinensis (PRJNA386618)	clsineprjna386618	CSKR.v2 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	79923
Clupea harengus	Atlantic herring	charengus	Ch_v2.0.2	GO:MF, GO:CC, GO:BP, HP	7950
Clytia hemisphaerica	Clytia hemisphaerica (Z4C2)	chgca902728285	GCA902728285v1	GO:MF, GO:CC, GO:BP	252671
Coffea canephora	Coffea canephora	ccanephora	AUK_PRJEB4211_v1	GO:MF, GO:CC, GO:BP	49390
Colletotrichum fructicola Nara gc5	Colletotrichum gloeosporioides	cgloeosporioides	Colletotrichum gloeosporioides Nara gc-5	GO:MF, GO:CC, GO:BP	1213859
Colletotrichum graminicola M1.001	Colletotrichum graminicola	cgraminicola	C_graminicola_M1_001_V1	GO:MF, GO:CC, GO:BP	645133
Colletotrichum higginsianum	Colletotrichum higginsianum	chigginsianum	ASM31379v2	GO:MF, GO:CC, GO:BP	80884
Colletotrichum orbiculare MAFF 240422	Colletotrichum orbiculare	corbiculare	Corbiculare240422v01	GO:MF, GO:CC, GO:BP	1213857
Copidosoma floridanum	Copidosoma floridanum (CFLO.00-Male) - GCA_000648655.2	cfgca000648655v2	Cflo_2.0	GO:MF, GO:CC, GO:BP	29053
Corchorus capsularis	Corchorus capsularis	ccapsularis	CCACVL1_1.0	GO:MF, GO:CC, GO:BP	210143
Corylus avellana	Corylus avellana	cavellana	CavTom2PMs-1.0	GO:MF, GO:CC, GO:BP	13451
Corymbia citriodora subsp. variegata	Corymbia citriodora	ccitriodora	Ccitriodora_v2_1	GO:MF, GO:CC, GO:BP	360336
Cotesia glomerata	Cotesia glomerata (CgM1) - GCA_020080835.1	cggca020080835v1	MPM_Cglom_v2.3	GO:MF, GO:CC, GO:BP	32391
Cottoperca gobio	Channel bull blenny	cgobio	fCotGob3.1	GO:MF, GO:CC, GO:BP, HP	56716
Coturnix japonica	Japanese quail	cjaponica	Coturnix_japonica_2.0	GO:MF, GO:CC, GO:BP, KEGG, HP	93934
Crassostrea gigas	Crassostrea gigas (Pacific oyster) - GCA_902806645.1	cgigas	GCA902806645v1	GO:MF, GO:CC, GO:BP, KEGG	29159
Crassostrea virginica	Crassostrea virginica (RU13XGHG1-28) - GCA_002022765.4	cvgca002022765v4	C_virginica_3.0	GO:MF, GO:CC, GO:BP	6565
Cricetulus griseus	Chinese hamster CHOK1GS	cgchok1gshd	CHOK1GS_HDv1	GO:MF, GO:CC, GO:BP, KEGG, HP	10029
Crocodylus porosus	Australian saltwater crocodile	cporosus	CroPor_comp1	GO:MF, GO:CC, GO:BP, HP	8502
Cryptococcus neoformans var. neoformans JEC21	Cryptococcus neoformans var. neoformans JEC21	cneoformans	ASM9104v1	GO:MF, GO:CC, GO:BP, KEGG	214684
Cucumis melo	Cucumis melo	cmelo	Melonv4	GO:MF, GO:CC, GO:BP, KEGG	3656
Cucumis sativus	Cucumis sativus	csativus	ASM407v2	GO:MF, GO:CC, GO:BP, KEGG	3659
Culex quinquefasciatus	Culex quinquefasciatus	cquinquefasciatus	CpipJ2	GO:MF, GO:CC, GO:BP, KEGG	7176
Culex quinquefasciatus	Culex quinquefasciatus (JHB)	cqgca015732765v1	VPISU_Cqui_1.0_pri_paternal	GO:MF, GO:CC, GO:BP	7176
Culicoides sonorensis	Culicoides sonorensis	csonorensis	Cson1	GO:MF, GO:CC, GO:BP	179676
Cyanidioschyzon merolae strain 10D	Cyanidioschyzon merolae	cmerolae	ASM9120v1	GO:MF, GO:CC, GO:BP, KEGG	280699
Cyclopterus lumpus	Lumpfish	clumpus	fCycLum1.pri	GO:MF, GO:CC, GO:BP, HP	8103
Cylicostephanus goldi	Cylicostephanus goldi (PRJEB498)	cygoldprjeb498	C_goldi_Cheshire_0011 (2014-06-WormBase)	GO:MF, GO:CC, GO:BP	71465
Cynara cardunculus var. scolymus	Cynara cardunculus	ccardunculus	CcrdV1	GO:MF, GO:CC, GO:BP, KEGG	59895
Cynoglossus semilaevis	Tongue sole	csemilaevis	Cse_v1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	244447
Cyprinodon variegatus	Sheepshead minnow	cvariegatus	C_variegatus-1.0	GO:MF, GO:CC, GO:BP, KEGG, HP	28743
Cyprinus carpio	Common carp	ccarpio	common_carp_genome	GO:MF, GO:CC, GO:BP, KEGG	7962
Cyprinus carpio carpio	Common carp	cccarpio	Cypcar_WagV4.0	GO:MF, GO:CC, GO:BP, HP	630221
Danaus plexippus plexippus	Danaus plexippus plexippus (F-2)	dplexippus	Dplex_v4	GO:MF, GO:CC, GO:BP	278856
Danio rerio	Zebrafish	drerio	GRCz11	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP	7955
Daphnia magna	Daphnia magna	dmagna	daphmag2.4	GO:MF, GO:CC, GO:BP	35525
Daphnia pulex	Daphnia pulex	dpulex	V1.0	GO:MF, GO:CC, GO:BP, KEGG	6669
Dasypus novemcinctus	Armadillo	dnovemcinctus	Dasnov3.0	GO:MF, GO:CC, GO:BP, HP	9361
Daucus carota subsp. sativus	Daucus carota	dcarota	ASM162521v1	GO:MF, GO:CC, GO:BP, KEGG	79200
Delphinapterus leucas	Beluga whale	dleucas	ASM228892v3	GO:MF, GO:CC, GO:BP, HP	9749
Dendroctonus ponderosae	Dendroctonus ponderosae (Mountain pine beetle) - GCA_000355655.1	dpgca000355655v1	DendPond_male_1.0	GO:MF, GO:CC, GO:BP	77166
Dendronephthya gigantea	Dendronephthya gigantea (DGI-Jeju-01) - GCA_004324835.1	dggca004324835v1	DenGig_1.0	GO:MF, GO:CC, GO:BP	151771
Denticeps clupeoides	Denticle herring	dclupeoides	fDenClu1.1	GO:MF, GO:CC, GO:BP, HP	299321
Dermacentor silvarum	Dermacentor silvarum (Dsil-2018)	dsgca013339745v1	GCA013339745v1	GO:MF, GO:CC, GO:BP	543639
Dermatophagoides pteronyssinus	Dermatophagoides pteronyssinus (airmid) - GCA_001901225.2	dpgca001901225v2	GCA001901225v2	GO:MF, GO:CC, GO:BP	6956
Diabrotica virgifera virgifera	Diabrotica virgifera virgifera (Ped12-6-A-3) - GCA_003013835.2	dvgca003013835v2	Dvir_v2.0	GO:MF, GO:CC, GO:BP	50390
Dibothriocephalus latus	Dibothriocephalus latus (PRJEB1206)	dilatuprjeb1206	D_latum_Geneva_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	60516
Dicentrarchus labrax	European seabass	dlabrax	dlabrax2021	GO:MF, GO:CC, GO:BP, HP	13489
Dictyocaulus viviparus	Dictyocaulus viviparus (PRJEB5116)	diviviprjeb5116	nDv.1.0 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	29172
Dictyocaulus viviparus	Dictyocaulus viviparus (PRJNA72587)	diviviprjna72587	D_viviparus_9.2.1.ec.pg (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	29172
Dictyostelium discoideum AX4	Dictyostelium discoideum	ddiscoideum	dicty_2.7	GO:MF, GO:CC, GO:BP, KEGG, REAC	352472
Dinothrombium tinctorium	Dinothrombium tinctorium	dtinctorium	DtinU1	GO:MF, GO:CC, GO:BP	1965070
Dioscorea cayenensis subsp. rotundata	Dioscorea rotundata	drotundata	TDr96_F1_v2_PseudoChromosome	GO:MF, GO:CC, GO:BP	55577
Diploscapter coronatus	Diploscapter coronatus (PRJDB3143)	dicoroprjdb3143	ASM220778v1 (2018-02-WormBase)	GO:MF, GO:CC, GO:BP	288516
Diploscapter pachys	Diploscapter pachys (PRJNA280107)	dipachprjna280107	DipSp1Ass11Ann3 (2018-01-WormBase)	GO:MF, GO:CC, GO:BP	2018661
Dipodomys ordii	Kangaroo rat	dordii	Dord_2.0	GO:MF, GO:CC, GO:BP, HP	10020
Dirofilaria immitis	Dirofilaria immitis (PRJEB1797)	diimmiprjeb1797	nDi.2.2 (2021-04-WormBase)	GO:MF, GO:CC, GO:BP	6287
Ditylenchus destructor	Ditylenchus destructor (PRJNA312427)	didestprjna312427	ASM157970v1 (2017-01-WormBase)	GO:MF, GO:CC, GO:BP	166010
Ditylenchus dipsaci	Ditylenchus dipsaci (PRJNA498219)	didipsprjna498219	D.dipsaci.v1.0 (2019-05-WormBase)	GO:MF, GO:CC, GO:BP	166011
Diuraphis noxia	Diuraphis noxia (RWA2) - GCA_001186385.1	dngca001186385v1	Dnoxia_1.0	GO:MF, GO:CC, GO:BP	143948
Dothistroma septosporum NZE10	Dothistroma septosporum	dseptosporum	Dothistroma septosporum NZE10 v1.0	GO:MF, GO:CC, GO:BP	675120
Dracunculus medinensis	Dracunculus medinensis (PRJEB500)	drmediprjeb500	D_medinensis_Ghana_v2_0_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	318479
Drosophila ananassae	Drosophila ananassae (TSC#14024-0371.13)	dananassae	dana_caf1	GO:MF, GO:CC, GO:BP, KEGG	7217
Drosophila erecta	Drosophila erecta (TSC#14021-0224.01)	derecta	dere_caf1	GO:MF, GO:CC, GO:BP, KEGG	7220
Drosophila grimshawi	Drosophila grimshawi (TSC#15287-2541.00)	dgrimshawi	dgri_caf1	GO:MF, GO:CC, GO:BP, KEGG	7222
Drosophila melanogaster	Drosophila melanogaster	dmelanogaster	BDGP6.32	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	7227
Drosophila mojavensis	Drosophila mojavensis (TSC#15081-1352.22)	dmojavensis	dmoj_caf1	GO:MF, GO:CC, GO:BP, KEGG	7230
Drosophila persimilis	Drosophila persimilis (MSH-3)	dpersimilis	dper_caf1	GO:MF, GO:CC, GO:BP, KEGG	7234
Drosophila pseudoobscura pseudoobscura	Drosophila pseudoobscura pseudoobscura (MV2-25)	dpseudoobscura	Dpse_3.0	GO:MF, GO:CC, GO:BP, KEGG	46245
Drosophila sechellia	Drosophila sechellia (Rob3c)	dsechellia	dsec_caf1	GO:MF, GO:CC, GO:BP, KEGG	7238
Drosophila simulans	Drosophila simulans (w501)	dsimulans	ASM75419v3	GO:MF, GO:CC, GO:BP, KEGG	7240
Drosophila virilis	Drosophila virilis (TSC#15010-1051.87)	dvirilis	dvir_caf1	GO:MF, GO:CC, GO:BP, KEGG	7244
Drosophila willistoni	Drosophila willistoni (TSC#14030-0811.24)	dwillistoni	dwil_caf1	GO:MF, GO:CC, GO:BP, KEGG	7260
Drosophila yakuba	Drosophila yakuba (Tai18E2)	dyakuba	dyak_caf1	GO:MF, GO:CC, GO:BP, KEGG	7245
Echinococcus canadensis	Echinococcus canadensis (PRJEB8992)	eccanaprjeb8992	ECANG7 (2017-05-WormBase)	GO:MF, GO:CC, GO:BP	519352
Echinococcus granulosus	Echinococcus granulosus (PRJEB121)	ecgranprjeb121	EGRAN001 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP, KEGG	6210
Echinococcus granulosus	Echinococcus granulosus (PRJNA182977)	ecgranprjna182977	ASM52419v1 (2016-04-WormBase)	GO:MF, GO:CC, GO:BP, KEGG	6210
Echinococcus multilocularis	Echinococcus multilocularis (PRJEB122)	ecmultprjeb122	EMULTI002 (2015-12-WormBase)	GO:MF, GO:CC, GO:BP	6211
Echinococcus oligarthrus	Echinococcus oligarthrus (PRJEB31222)	ecoligprjeb31222	v2 (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	6212
Echinops telfairi	Lesser hedgehog tenrec	etelfairi	TENREC	GO:MF, GO:CC, GO:BP, HP	9371
Echinostoma caproni	Echinostoma caproni (PRJEB1207)	eccaprprjeb1207	E_caproni_Egypt_0011_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	27848
Elaeophora elaphi	Elaeophora elaphi (PRJEB502)	elelapprjeb502	E_elaphi_v1_0_4 (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	1147741
Electrophorus electricus	Electric eel	eelectricus	Ee_SOAP_WITH_SSPACE	GO:MF, GO:CC, GO:BP, KEGG, HP	8005
Emiliania huxleyi CCMP1516	Emiliania huxleyi	ehuxleyi	Emiliana huxleyi CCMP1516 main genome assembly v1.0	GO:MF, GO:CC, GO:BP, KEGG	280463
Entamoeba histolytica HM-1:IMSS	Entamoeba histolytica	ehistolytica	JCVI-ESG2-1.0	GO:MF, GO:CC, GO:BP, KEGG	294381
Enterobius vermicularis	Enterobius vermicularis (PRJEB503)	envermprjeb503	E_vermicularis_Canary_Islands_upd (2014-06-50HGPpatch)	GO:MF, GO:CC, GO:BP	51028
Eptatretus burgeri	Hagfish	eburgeri	Eburgeri_3.2	GO:MF, GO:CC, GO:BP, HP	7764
Equus asinus asinus	Donkey	eaasinus	ASM303372v1	GO:MF, GO:CC, GO:BP, HP	83772
Equus caballus	Horse	ecaballus	EquCab3.0	GO:MF, GO:CC, GO:BP, KEGG, HP, WP	9796
Eragrostis curvula	Eragrostis curvula	ecurvula	CERZOS_E.curvula1.0	GO:MF, GO:CC, GO:BP	38414
Eragrostis tef	Eragrostis tef	etef	ASM97063v1	GO:MF, GO:CC, GO:BP	110835
Eremothecium gossypii ATCC 10895	Ashbya gossypii	agossypii	ASM9102v1	GO:MF, GO:CC, GO:BP, KEGG	284811
Erinaceus europaeus	Hedgehog	eeuropaeus	eriEur1	GO:MF, GO:CC, GO:BP, HP	9365
Erpetoichthys calabaricus	Reedfish	ecalabaricus	fErpCal1.1	GO:MF, GO:CC, GO:BP, HP	27687
Esox lucius	Northern pike	elucius	Eluc_v4	GO:MF, GO:CC, GO:BP, KEGG, HP	8010
Eucalyptus grandis	Eucalyptus grandis	egrandis	Egrandis1_0	GO:MF, GO:CC, GO:BP	71139
Eutrema salsugineum	Eutrema salsugineum	esalsugineum	Eutsalg1_0	GO:MF, GO:CC, GO:BP	72664
Fasciola gigantica	Fasciola gigantica (PRJNA230515)	fagigaprjna230515	F_gigantica_1.0.allpaths (2020-02-WormBase)	GO:MF, GO:CC, GO:BP	46835
Fasciola hepatica	Fasciola hepatica (PRJEB25283)	fahepaprjeb25283	Fasciola_10x_pilon (2020-05-WormBase)	GO:MF, GO:CC, GO:BP	6192
Fasciola hepatica	Fasciola hepatica (PRJNA179522)	fahepaprjna179522	F_hepatica_1.0.allpaths.pg (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	6192
Fasciolopsis buski	Fasciolopsis buski (PRJNA284521)	fabuskprjna284521	F_buski_1.0.allpaths-lg (2021-12-WormBase)	GO:MF, GO:CC, GO:BP	27845
Felis catus	Cat	fcatus	Felis_catus_9.0	GO:MF, GO:CC, GO:BP, KEGG, HP	9685
Ficedula albicollis	Collared flycatcher	falbicollis	FicAlb1.5	GO:MF, GO:CC, GO:BP, KEGG, HP	59894
Ficus carica	Ficus carica	fcarica	UNIPI_FiCari_1.0	GO:MF, GO:CC, GO:BP	3494
Folsomia candida	Folsomia candida str. VU population	fcandida	ASM221717v1	GO:MF, GO:CC, GO:BP, KEGG	158441
Fundulus heteroclitus	Mummichog	fheteroclitus	Fundulus_heteroclitus-3.0.2	GO:MF, GO:CC, GO:BP, HP	8078
Fusarium culmorum CS7071	Fusarium culmorum UK99	fculmorum	EF 1	GO:MF, GO:CC, GO:BP	1318462
Fusarium fujikuroi	Fusarium fujikuroi	ffujikuroi	EF 1	GO:MF, GO:CC, GO:BP	5127
Fusarium graminearum	Fusarium graminearum str. PH-1	fgraminearum	RR1	GO:MF, GO:CC, GO:BP	5518
Fusarium oxysporum f. sp. lycopersici 4287	Fusarium oxysporum	foxysporum	FO2	GO:MF, GO:CC, GO:BP, KEGG	426428
Fusarium pseudograminearum CS3096	Fusarium pseudograminearum	fpseudograminearum	FP7	GO:MF, GO:CC, GO:BP, KEGG	1028729
Fusarium vanettenii 77-13-4	Fusarium solani	fsolani	v2.0	GO:MF, GO:CC, GO:BP, KEGG	660122
Fusarium verticillioides 7600	Fusarium verticillioides	fverticillioides	ASM14955v1	GO:MF, GO:CC, GO:BP, KEGG	334819
Gadus morhua	Atlantic cod	gmorhua	gadMor3.0	GO:MF, GO:CC, GO:BP, HP	8049
Gaeumannomyces tritici R3-111a-1	Gaeumannomyces tritici R3-111a-1	ggraminis	Gae_graminis_V2	GO:MF, GO:CC, GO:BP	644352
Galdieria sulphuraria	Galdieria sulphuraria	gsulphuraria	ASM34128v1	GO:MF, GO:CC, GO:BP, KEGG	130081
Galendromus occidentalis	Metaseiulus occidentalis (Western predatory mite) - GCA_000255335.1	mogca000255335v1	Mocc_1.0	GO:MF, GO:CC, GO:BP	34638
Gallus gallus	Chicken (maternal Broiler)	ggallus	bGalGal1.mat.broiler.GRCg7b	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP	9031
Gasterosteus aculeatus	Stickleback	gaculeatus	BROAD S1	GO:MF, GO:CC, GO:BP, HP	69293
Geospiza fortis	Medium ground-finch	gfortis	GeoFor_1.0	GO:MF, GO:CC, GO:BP, HP	48883
Giardia lamblia ATCC 50803	Giardia lamblia	glamblia	GL2	GO:MF, GO:CC, GO:BP, KEGG	184922
Gigantopelta aegis	Gigantopelta aegis (Deep sea snail, Gae_Host) - GCA_016097555.1	gagca016097555v1	Gae_host_genome	GO:MF, GO:CC, GO:BP	1735272
Globisporangium irregulare DAOM BR486	Pythium irregulare	pirregulare	pir_scaffolds_v1	GO:MF, GO:CC, GO:BP	1223557
Globisporangium iwayamae DAOM BR242034	Pythium iwayamai	piwayamai	piw_scaffolds_v1	GO:MF, GO:CC, GO:BP	1223558
Globisporangium ultimum DAOM BR144	Globisporangium ultimum	gultimum	GCA000143045v1	GO:MF, GO:CC, GO:BP	431595
Globisporangium ultimum DAOM BR144	Pythium ultimum	pultimum	pug	GO:MF, GO:CC, GO:BP	431595
Globodera pallida	Globodera pallida (PRJEB123)	glpallprjeb123	GPAL001 (2014-05-WormBase)	GO:MF, GO:CC, GO:BP	36090
Globodera rostochiensis	Globodera rostochiensis (L19PRJNA695196)	l19prjna695196	WUR_GloGros_L19 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	31243
Globodera rostochiensis	Globodera rostochiensis (L22 PRJNA695196)	l22prjna695196	WUR_GloGros_L22 (2021-11-WormBase)	GO:MF, GO:CC, GO:BP	31243
