taxid	scientific_name	kegg
1619313	Erwinia gerundensis	ege
161934	Beta vulgaris	bvg
162	Treponema phagedenis	tphg
1620392	Spongiibacter sp. IMCC21906	spoi
1620421	Hoeflea sp. IMCC20628	hoe
162209	Paenibacillus naphthalenovorans	pnp
1622118	Lutibacter profundi	lut
162425	Aspergillus nidulans	ani
162426	Microbacterium hominis	mhos
1629	Weissella viridescens	wvr
163003	Thermococcus cleftensis	thm
1630135	Dermabacter vaginalis	dva
1630693	Gemmata sp. SH-PL17	ges
163164	Wolbachia endosymbiont of Drosophila melanogaster	wol
1631871	Weissella jogaejeotgali	wjo
1632864	Planctomyces sp. SH-PL14	pls
1632865	Pirellula sp. SH-Sr6A	pir
163359	Acidiferrobacter thiooxydans	aty
1633874	Acetobacter oryzifermentans	asv
1634516	Citromicrobium sp. JL477	cij
1636152	Planctomyces sp. SH-PL62	plh
1637999	Verrucomicrobia bacterium IMCC26134	vba
1639348	Magnetospirillum sp. ME-1	magn
1642646	Petrimonas mucosa	pmuc
1642647	Proteiniphilum saccharofermentans	psac
1643450	Devosia sp. H5989	deq
1644130	Maribacter sp. 1_2014MBL_MicDiv	marm
1644131	Janthinobacterium sp. 1_2014MBL_MicDiv	jaz
1646377	Rouxiella badensis	rbad
1646498	Acinetobacter sp. TTH0-4	att
1647413	Anabaena sp. WA102	awa
164757	Mycobacterium sp. JLS	mjl
1648	Erysipelothrix rhusiopathiae	erh
1652495	Corynebacterium crudilactis	ccjz
1653476	Caldimicrobium thiodismutans	cthi
1653478	Rhodococcus sp. PBTS 1	rhu
1653480	Alloactinosynnema sp. L-07	alo
1655	Actinomyces naeslundii	ane
1658665	Mitsuaria sp. 7	miu
1658671	Arsenicicoccus sp. oral taxon 190	ars
1658672	Ottowia sp. oral taxon 894	oto
1660	Schaalia odontolytica	soo
1660073	Campylobacter sp. RM6137	camy
1661	Trueperella pyogenes	tpy
1662285	Methylophilus sp. TWE2	meu
166314	Synechococcus sp. WH 8109	syh
1663591	Magnetospirillum sp. XM-1	magx
166361	Onthophagus taurus	otu
1664069	Bacillus glycinifermentans	bgy
166486	Roseburia intestinalis	rix
1673428	Cuniculiplasma divulgatum	cdiv
1674923	Thermococcus sp. 2319x1	thv
1676925	Paramormyrops kingsleyae	pki
1678028	Massilia sp. NR 4-1	mnr
1678128	Limnohabitans sp. 63ED37-2	lih
1678129	Limnohabitans sp. 103DPR2	lim
1678678	Burkholderia sp. HB1	buq
1679444	Akkermansia glycaniphila	agl
1680	Bifidobacterium adolescentis	bad
1681	Bifidobacterium bifidum	bbp
1683	Bifidobacterium angulatum	bang
168384	Marvinbryantia formatexigens	mfor
1685	Bifidobacterium breve	bbv
1685010	Chryseobacterium glaciei	chh
1686310	Bartonella apis	bapi
1687	Bifidobacterium coryneforme	bcor
1689272	Vitreoscilla massiliensis	vms
1690248	Arthrobacter sp. LS16	arl
1690484	Hyphomonadaceae bacterium UKL13-1	hbc
1690485	Betaproteobacteria bacterium UKL13-2	beb
1690815	Pseudonocardia sp. HH130630-07	phh
1692238	Enterobacter sp. FY-07	enf
169427	Paraburkholderia terricola	pts
169430	Paraburkholderia hospita	phs
169435	Anaerotruncus colihominis	acol
1695218	Paenibacillus sp. 32O-W	pow
1696072	Microbacterium sp. CGR1	mim
169679	Clostridium saccharobutylicum	csb
1697	Corynebacterium ammoniagenes	camg
1697043	Bordetella sp. H567	boh
169760	Paenibacillus stellifer	pste
169765	Mycobacterium lacus	mlj
1699624	Psychrobacter sp. P11G5	psyg
169963	Listeria monocytogenes EGD-e	lmo
1700835	Candidatus Bathyarchaeota archaeon BA1	barc
1700836	Candidatus Bathyarchaeota archaeon BA2	barb
170187	Streptococcus pneumoniae TIGR4	spn
1702221	Faecalibaculum rodentium	fro
1702325	Chelatococcus sp. CO-6	chel
1703	Brevibacterium linens	bly
1704044	Arthrobacter sp. ERGS1:01	are
1704307	Candidatus Xiphinematobacter sp. Idaho Grape	xii
1705	Corynebacterium stationis	csta
1705394	Candidatus Thioglobus autotrophicus	tho
170573	Staphylococcus pettenkoferi	spet
1707785	Massilia sp. WG5	masw
171101	Streptococcus pneumoniae R6	spr
1712410	Thermoanaerosceptrum fracticalcis	tfr
1712654	Thermococcus piezophilus	tpie
1712675	Turicibacter sp. H121	tur
1714373	Microbacterium sp. No. 7	mio
1715806	Methanosarcina flavescens	mfz
1715989	Candidatus Nitrospira inopinata	nio
1716143	Pseudodesulfovibrio indicus	dej
1719	Corynebacterium pseudotuberculosis	cpu
1719125	Candidatus Riesia sp. GBBU	rig
1720344	Psychrobacter sp. AntiMn-1	psya
172043	Brevundimonas nasdae	bnd
172045	Elizabethkingia miricola	elb
1721091	Chryseobacterium sp. IHB B 17019	cih
1724	Corynebacterium renale	crl
1725	Corynebacterium xerosis	cxe
1725411	Streptomyces sp. CdTB01	scx
172713	Paenibacillus kribbensis	pkb
1727163	Algoriphagus sanaruensis	alm
1727164	Pedobacter sp. PACM 27299	pep
1727196	Methylomonas sp. DH-1	mdh
1729720	Salegentibacter sp. T436	salt
1735162	Candidatus Peribacter riflensis	prf
1735272	Gigantopelta aegis	gae
1736	Eubacterium limosum	elim
1736674	Algibacter alginicilyticus	ahz
1737403	Nanohaloarchaea archaeon SG9	nac
1737425	Corynebacterium provencense	cpre
1747	Cutibacterium acnes	pac
1748243	Candidatus Tenderia electrophaga	tee
1749074	Mycoplasma sp. (ex Biomphalaria glabrata)	myg
1749259	Marinobacter sp. LQ44	mlq
1750719	Kurthia sp. 11kri321	kur
1751286	Nostoc sp. NIES-3756	non
1751294	Streptomyces sp. 4F	strf
1752063	Fischerella sp. NIES-3754	fis
1752064	Leptolyngbya sp. NIES-3755	len
1752398	Ensifer alkalisoli	eak
1758178	Celeribacter ethanolicus	ceh
1759399	Streptococcus sp. A12	stra
1760988	Methylomagnum ishizawai	misz
176275	Beauveria bassiana	176275
176279	Staphylococcus epidermidis RP62A	ser
176280	Staphylococcus epidermidis ATCC 12228	sep
1763538	Paenibacillus crassostreae	pcx
1765	Mycobacterium tuberculosis variant bovis	mbo
1766	Mycolicibacterium fortuitum	mft
1768	Mycobacterium kansasii	mkn
1768108	Deinococcus actinosclerus	dab
1768242	Paucibacter sp. KCTC 42545	pkt
176946	Python bivittatus	pbi
1769779	Microbulbifer aggregans	micc
1771	Mycolicibacterium phlei	mphl
1774	Mycobacteroides chelonae	mche
177416	Francisella tularensis subsp. tularensis SCHU S4	ftu
1774273	Polaribacter vadi	pob
1776	Mycolicibacterium flavescens	mflv
1776384	Emergencia timonensis	etm
1778	Mycobacterium gordonae	mgor
1778262	Candidatus Doolittlea endobia	den
1778263	Candidatus Hoaglandella endobia	hed
1778264	Candidatus Mikella endobia	cmik
1779382	Rhodothermaceae bacterium RA	rbar
1780	Mycobacterium malmoense	mmam
1783515	Streptomyces qaidamensis	stsi
1784	Mycobacterium simiae	Mycobacterium
1785995	Gemella sp. oral taxon 928	got
1785996	Leptotrichia sp. oral taxon 847	lot
1788	Mycolicibacter terrae	mter
1789	Mycobacterium xenopi	mxe
1789224	Acinetobacter larvae	ala
1790137	Wenyingzhuangia fucanilytica	wfu
1791	Mycolicibacterium aurum	mauu
1792307	Bosea sp. PAMC 26642	bop
1793	Mycolicibacterium fallax	mfx
1795	Mycolicibacterium neoaurum	mne
1795043	Burkholderia sp. PAMC 26561	bum
1795053	Microbacterium sp. PAMC 28756	mip
1795630	Frondihabitans sp. PAMC 28766	frp
1795631	Variovorax sp. PAMC 28711	vaa
1796613	Bacteroides caecimuris	bcae
1796616	Blautia sp. YL58	byl
1796646	Muribaculum intestinale	pary
1797	Mycolicibacterium thermoresistibile	mthn
1798018	Candidatus Fluviicola riflensis	flu
180498	Jatropha curcas	jcu
1806	Mycobacterium tuberculosis variant microti	mmic
180675	Salvia splendens	sspl
1806885	Sphingorhabdus sp. M41	sphg
1806905	Arthrobacter sp. ZXY-2	arx
180957	Pectobacterium brasiliense	pbra
1810504	Immundisolibacter cernigliae	gbi
181119	Pseudopodoces humilis	phi
1811193	Streptococcus pantholopis	spat
1813019	Campylobacter hepaticus	chw
1816218	Colwellia sp. PAMC 20917	coz
1816219	Colwellia sp. PAMC 21821	colw
1821621	Marinobacterium aestuarii	mars
182217	Helicobacter cetorum MIT 00-7128	hce
1823759	Desulfuromonas sp. DDH964	deu
1824	Nocardia asteroides	nad
1827469	Brevundimonas sp. GW460-12-10-14-LB2	brg
1828	Rhodococcus fascians	rfa
1829	Rhodococcus rhodochrous	rrt
1833	Rhodococcus erythropolis	Rhodococcus
1834196	Lachnoclostridium sp. YL32	lacy
1834198	Hungateiclostridiaceae bacterium KB18	ruk
1834205	Burkholderiales bacterium YL45	bbay
1834207	Erysipelotrichaceae bacterium I46	erb
1834519	Fibrella sp. ES10-3-2-2	fib
1835254	Polynucleobacter duraquae	pdq
1836467	Maribacter sp. T28	mart
1838286	Lacunisphaera limnophila	obg
1839801	Dehalogenimonas formicexedens	dfo
1841481	Seriola lalandi dorsalis	slal
1842533	Acidovorax sp. RAC01	acra
1842534	Sinorhizobium sp. RAC02	six
1842535	Blastomonas sp. RAC04	blas
1842536	Agrobacterium sp. RAC06	agc
1842537	Hydrogenophaga sp. RAC07	hyr
1842539	Bosea sp. RAC05	bos
1842540	Methyloversatilis sp. RAC08	metr
1842727	Rhodoferax koreense	rhy
1843368	Sphingobium sp. RAC03	sphr
1844006	Phaeobacter porticola	php
1848766	Campylobacter ornithocola	coj
1849032	Arthrobacter sp. U41	aru
1849967	Streptomyces sp. SAT1	strt
185007	Pseudobutyrivibrio xylanivorans	pxv
185008	Butyrivibrio hungatei	bhu
1850250	Rhodobacter sp. LPB0142	rhp
1850252	Tenacibaculum todarodis	ten
1850526	Arachidicoccus sp. BS20	arb
1851148	Limihaloglobus sulfuriphilus	pbas
1851544	Orrella dioscoreae	odi
1853130	Pseudomonas silesiensis	psil
1853690	Halolamina sp. CBA1230	haln
1855519	Sphingobium sp. EP60837	sphb
1855823	Macrococcus canis	mcak
1855912	Luteitalea pratensis	abac
1856685	Pseudomonas sp. TCU-HL1	pset
1860122	Halothiobacillus sp. LS2	haz
1862950	Rhizobiales bacterium NRL2	rbm
186490	Candidatus Baumannia cicadellinicola	bcib
186497	Pyrococcus furiosus DSM 3638	pfu
1868325	Prosthecochloris sp. CIB 2401	proc
1868482	Carlito syrichta	csyr
1870984	Anaerococcus mediterraneensis	amei
1871111	Acinetobacter defluvii	adv
187303	Methylocystis sp. SC2	msc
1873524	Halodesulfurarchaeum formicicum	halh
1874317	Marinobacter salinus	msq
1874630	Clavibacter michiganensis subsp. capsici	ccap
187493	Thalassolituus oleivorans	tol
1878942	Candidatus Fukatsuia symbiotica	fsm
1879050	Acinetobacter wuhouensis	awu
1883416	Halomonas sp. 1513	halo
188379	Egretta garzetta	egz
1884263	Selenomonas sp. oral taxon 920	selt
1888	Streptomyces albus	sals
1889	Streptomyces ambofaciens	samb
188932	Pedobacter cryoconitis	pcm
1889813	Anaerolineaceae bacterium oral taxon 439	abao
1890	Streptomyces antibioticus	1890
1891280	Sulfolobus sp. A20	sula
1891675	Pantoea alhagi	palh
1893	Streptomyces atratus	sata
189425	Paenibacillus graminis	pgm
189426	Paenibacillus odorifer	pod
1896196	Porphyrobacter sp. LM 6	porl
1898044	Spiroplasma sp. TU-14	spit
1898203	Lachnospiraceae bacterium	lbw
1899017	Candidatus Melainabacteria bacterium MEL.A1	mbf
189918	Mycobacterium sp. KMS	mkm
1901	Streptomyces clavuligerus	sclf
1902579	Candidatus Tokpelaia hoelldoblerii	thd
190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	fnu
1903186	Brachybacterium sp. P6-10-X1	brx
1903686	Jeotgalibaca sp. PTS2502	jep
1904640	Betaproteobacteria bacterium GR16-43	beba
1904944	Stenotrophomonas sp. LM091	slm
1905	Streptomyces exfoliatus	1905
1905730	Pectobacterium parmentieri	pwa
1905847	Curtobacterium sp. BH-2-1-1	cub
1906	Streptomyces fradiae	sfb
1906741	Jeongeupia sp. USM3	jeu
1906742	Microbacterium sp. BH-3-3-3	mih
1906744	Rodentibacter heylii	rhey
1907	Streptomyces glaucescens	sgu
190721	Ralstonia insidiosa	rin
190893	Vibrio coralliilyticus	vcy
1909395	Nonomuraea sp. ATCC 55076	noa
1909732	Tessaracoccus sp. T2.5-30	tez
1911	Streptomyces griseus	sgr
1911586	Marinilactibacillus sp. 15R	marr
1911587	Virgibacillus sp. 6R	vig
1912856	Peptoniphilus sp. ING2-D1G	ped
191292	Rhodococcus aetherivorans	rav
1913577	Gramella salexigens	grl
1915	Streptomyces lincolnensis	sls
1915078	Thioclava nitratireducens	thw
191610	Corynebacterium atypicum	cax
1916956	Synechococcus sp. SynAce01	syny
192	Azospirillum brasilense	abq
1920883	Marivivens sp. JLT3646	don
1921421	Geobacillus genomosp. 3	gjf
1921510	Tardibacter chloracetimidivorans	sphj
1922217	Candidatus Erwinia haradaeae	ehd
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	cje
192421	Planococcus maritimus	pmat
1926494	Paraburkholderia sp. SOS3	para
192952	Methanosarcina mazei Go1	mma
1930546	Sporosarcina sp. P37	spop
1931275	Neisseria dumasiana	ndu
1932360	Halorientalis sp. IM1011	hali
1933220	Sphingobacterium sp. B29	sphn
1933880	Glutamicibacter halophytocola	gar
1933904	Bartonella sp. WD16.2	barw
1933906	Bartonella sp. JB15	bart
1933912	Bartonella sp. Raccoon60	barr
193462	Streptomyces niveus	snw
1935	Streptomyces violaceoruber	svu
1936003	Anaerohalosphaera lusitana	alus
1936080	Winogradskyella sp. J14-2	wij
1936081	Seonamhaeicola sp. S2-3	seon
1938604	Aquaspirillum sp. LM1	aql
1938605	Brevundimonas sp. LM2	brl
1938607	Sphingomonas sp. LM7	splm
1940790	Sedimentisphaera cyanobacteriorum	pbu
1941349	Sedimentisphaera salicampi	pbp
194197	Neisseria dentiae	ndn
194338	Athene cunicularia	acun
1945512	Cellvibrio sp. PSBB023	ceb
1945662	Paracoccus contaminans	pcon
194963	Sinorhizobium americanum	same
195	Campylobacter coli	ccol
195103	Clostridium perfringens ATCC 13124	cpf
195105	Haematobacter massiliensis	hml
195253	Synechococcus sp. PCC 6312	syne
195522	Thermococcus nautili	tnu
195913	Loktanella salsilacus	lsal
1960083	Actinomyces gaoshouyii	actp
1961	Streptomyces virginiae	1961
196162	Nocardioides sp. JS614	nca
196627	Corynebacterium glutamicum ATCC 13032	cgl
1974213	Prosthecochloris sp. HL-130-GSB	prs
1980001	Cellulosimicrobium sp. TH-20	cet
198107	Azoarcus sp. CIB	azi
198467	Anoxybacillus gonensis	agn
198620	Pseudomonas koreensis	pkr
198628	Dickeya dadantii 3937	ddd
1993	Actinomadura madurae	1993
199306	Coccidioides posadasii	cpw
200991	Planococcus rifietoensis	prt
2015173	Ooceraea biroi	obo
202	Campylobacter mucosalis	cmuc
202698	Punctularia strigosozonata	psq
202752	Listeria ivanovii subsp. londoniensis	lia
202947	Actinobacillus equuli subsp. equuli	aeu
202950	Acinetobacter baylyi	aci
202951	Acinetobacter bouvetii	abou
202952	Acinetobacter gerneri	202952
202954	Acinetobacter tandoii	atn
202956	Acinetobacter towneri	atg
203120	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	lme
2035	Curtobacterium flaccumfaciens	cqf
203907	Candidatus Blochmannia floridanus	bfl
203908	Melampsora larici-populina	mlr
2041	Aeromicrobium erythreum	aer
2045	Pimelobacter simplex	psim
204773	Herminiimonas arsenicoxydans	har
2055	Gordonia terrae	gta
205918	Pseudomonas syringae pv. syringae B728a	psb
205922	Pseudomonas fluorescens Pf0-1	pfo
206008	Panicum hallii	phai
2064	Kitasatospora griseola	2064
206403	Sulfurovum lithotrophicum	slh
206506	Kerstersia gyiorum	kgy
206672	Bifidobacterium longum NCC2705	blo
207340	Roseomonas mucosa	rmuc
2074	Pseudonocardia autotrophica	paut
207949	Bermanella marisrubri	bmar
207954	Neptuniibacter caesariensis	207954
208223	Kosakonia cowanii	kco
208224	Enterobacter kobei	ekb
208439	Amycolatopsis japonica	Amycolatopsis
208596	Carnobacterium sp. 17-4	crn
208960	Fomitiporia mediterranea	fme
208964	Pseudomonas aeruginosa PAO1	pae
2094	Mycoplasma arginini	marg
210007	Streptococcus mutans UA159	smu
210225	Nymphaea colorata	ncol
2110	Mycoplasma agalactiae	maa
211110	Streptococcus agalactiae NEM316	san
212717	Clostridium tetani E88	ctc
212767	Mycobacterium sp. JS623	msa
2133	Spiroplasma citri	sck
213554	Halomonas campaniensis	hcs
213585	Methanosarcina mazei S-6	mmj
214092	Yersinia pestis CO92	ype
214684	Cryptococcus neoformans var. neoformans JEC21	cne
215358	Larimichthys crocea	lco
215689	Erwinia sp. Ejp617	erj
215743	Roseovarius mucosus	rmm
216142	Pseudomonas rhizosphaerae	prh
2162	Methanobacterium formicicum	mfc
216591	Burkholderia cenocepacia J2315	bcj
216594	Mycobacterium marinum M	mmi
216595	Pseudomonas fluorescens SBW25	pfs
216596	Rhizobium leguminosarum bv. viciae 3841	rle
216778	Stenotrophomonas rhizophila	srh
216816	Bifidobacterium longum	blo
216938	Spiroplasma helicoides	shj
216942	Spiroplasma litorale	sll
216946	Spiroplasma turonicum	stur
217204	Achromobacter insolitus	ais
217634	Anoplophora glabripennis	agb
2177	Methanohalophilus halophilus	mhaz
218467	Centruroides sculpturatus	cscu
218491	Pectobacterium atrosepticum SCRI1043	eca
218493	Salmonella bongori NCTC 12419	sbg
218821	Amycolatopsis pretoriensis	aprt
218936	Aeromonas simiae	asim
219572	Pseudomonas antarctica	panr
2200	Methanoculleus thermophilus	2200
220664	Pseudomonas protegens Pf-5	pfl
220668	Lactobacillus plantarum WCFS1	lpl
220927	Mycobacterium saskatchewanense	msak
221027	Treponema putidum	tpk
221103	Moniliophthora roreri	mrr
223781	Aquila chrysaetos chrysaetos	achc
223926	Vibrio parahaemolyticus RIMD 2210633	vpa
224129	Agrilus planipennis	apln
224325	Archaeoglobus fulgidus DSM 4304	afu
224326	Borreliella burgdorferi B31	bbu
224719	Methanobrevibacter sp. AbM4	meb
224911	Bradyrhizobium diazoefficiens USDA 110	bja
225117	Pyrus x bretschneideri	pxb
225164	Lottia gigantea	lgi
225400	Myotis davidii	myd
225848	Shewanella psychrophila	spsw
225991	Comamonas aquatica	caqt
225992	Comamonas kerstersii	cke
226185	Enterococcus faecalis V583	efa
226186	Bacteroides thetaiotaomicron VPI-5482	bth
22663	Punica granatum	22663
226900	Bacillus cereus ATCC 14579	bce
227377	Coxiella burnetii RSA 493	cbu
228400	Histophilus somni 2336	hsm
230089	Photorhabdus thracensis	ptt
230361	Methanobrevibacter millerae	mmil
232348	Synechococcus sp. CB0101	sync
2325	Thermoanaerobacter kivui	tki
232721	Acidovorax sp. JS42	ajs
233316	Alteromonas stellipolaris	asp
234621	Rhodococcus erythropolis PR4	rer
234831	Pseudoalteromonas sp. SM9913	psm
237258	Cloacibacterium normanense	cnr
237610	Pseudomonas psychrotolerans	ppsl
238	Elizabethkingia meningoseptica	emg
241244	Rummeliibacillus stabekisii	rst
242231	Neisseria gonorrhoeae FA 1090	ngo
2423	Fervidobacterium islandicum	fia
242619	Porphyromonas gingivalis W83	pgi
243159	Acidithiobacillus ferrooxidans ATCC 23270	afr
243160	Burkholderia mallei ATCC 23344	bma
243164	Dehalococcoides mccartyi 195	det
243231	Geobacter sulfurreducens PCA	gsu
243273	Mycoplasma genitalium G37	mge
243274	Thermotoga maritima MSB8	tma
244447	Cynoglossus semilaevis	csem
245174	Wallemia ichthyophaga	wic
246	Chryseobacterium balustinum	cbp
246273	Wolbachia endosymbiont of Cimex lectularius	wcl
246432	Staphylococcus equorum	seqo
246437	Tupaia chinensis	tup
246787	Bacteroides cellulosilyticus	bcel
246969	Thermococcus sp. AM4	tha
247156	Nocardia farcinica IFM 10152	nfa
247523	Pseudoalteromonas aliena	paln
248742	Coccomyxa subellipsoidea	csl
252514	Microbulbifer thermotolerans	mthd
253	Chryseobacterium indologenes	cio
253839	Streptomyces sp. C	strc
254	Chryseobacterium indoltheticum	cil
255247	Fictibacillus arsenicus	far
255470	Dehalococcoides mccartyi CBDB1	deh
256	Myroides odoratus	moa
257309	Corynebacterium diphtheriae NCTC 13129	cdi
257310	Bordetella bronchiseptica RB50	bbr
257313	Bordetella pertussis Tohama I	bpe
257314	Lactobacillus johnsonii NCC 533	ljo
257708	Roseomonas gilardii	rgi
257758	Streptococcus pseudopneumoniae	std
258594	Rhodopseudomonas palustris CGA009	rpa
260552	Microbulbifer agarilyticus	maga
260554	Bacillus halotolerans	bht
261164	Psychrobacter alimentarius	pali
261292	Nitrosomonas sp. Is79A3	nii
261299	Intestinibacter bartlettii	ibr
261317	Buchnera aphidicola (Cinara tujafilina)	baj
262209	Janibacter melonis	jme
262316	Mycobacterium avium subsp. paratuberculosis K-10	mpa
262324	Lysobacter gummosus	lgu
262723	Mycoplasma synoviae 53	msy
262724	Thermus thermophilus HB27	tth
262768	Onion yellows phytoplasma OY-M	poy
264199	Streptococcus thermophilus LMG 18311	stl
264462	Bdellovibrio bacteriovorus HD100	bba
264732	Moorella thermoacetica ATCC 39073	mta
265311	Mesoplasma florum L1	mfl
265960	Komagataeibacter nataicola	kna
266779	Chelativorans sp. BNC1	mes
266834	Sinorhizobium meliloti 1021	sme
267128	Sphingopyxis granuli	sgi
267212	Neisseria bacilliformis	nbc
267377	Methanococcus maripaludis S2	mmp
267608	Ralstonia solanacearum GMI1000	rso
269482	Burkholderia vietnamiensis G4	bvi
269796	Rhodospirillum rubrum ATCC 11170	rru
2702	Gardnerella vaginalis	gvg
270351	Methylobacterium aquaticum	maqu
270918	Salegentibacter mishustinae	smis
2711	Citrus sinensis	cit
2718	Cardiobacterium hominis	chj
272556	Aggregatibacter actinomycetemcomitans HK1651	aah
272559	Bacteroides fragilis NCTC 9343	bfs
272560	Burkholderia pseudomallei K96243	bps
272561	Chlamydia trachomatis D/UW-3/CX	ctr
272562	Clostridium acetobutylicum ATCC 824	cac
272568	Gluconacetobacter diazotrophicus PA1 5	gdi
272620	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	kpn
272621	Lactobacillus acidophilus NCFM	lac
272623	Lactococcus lactis subsp. lactis Il1403	lla
272631	Mycobacterium leprae TN	mle
272634	Mycoplasma pneumoniae M129	mpn
27288	Naumovozyma castellii	ncs
27289	Naumovozyma dairenensis	ndi
27337	Verticillium dahliae	vda
273371	Candida orthopsilosis	cot
273526	Serratia marcescens subsp. marcescens Db11	smac
273677	Microbacterium oleivorans	moo
274537	Chlorobaculum limnaeum	clz
2748	Carnobacterium divergens	cdj
2756	Brochothrix thermosphacta	bths
27679	Saimiri boliviensis	sbq
2769	Chondrus crispus	ccp
277988	Thermococcus thioreducens	ttd
278197	Pediococcus pentosaceus ATCC 25745	ppe
279010	Bacillus licheniformis DSM 13 = ATCC 14580	bld
279058	Collimonas arenae	care
279113	Collimonas pratensis	cpra
279808	Staphylococcus haemolyticus JCSC1435	sha
28026	Bifidobacterium pseudocatenulatum	bpsc
28028	Corynebacterium flavescens	cfc
28035	Staphylococcus lugdunensis	slg
28072	Nostoc sp. PCC 7524	nop
28084	Legionella cherrii	lcj
28087	Legionella sainthelensi	lsh
28090	Acinetobacter lwoffii	alw
28091	Neisseria weaveri	nwe
28099	Agrobacterium rubi	arui
28108	Alteromonas macleodii	amac
28110	Francisella philomiragia	fph
28116	Bacteroides ovatus	boa
28117	Alistipes putredinis	aput
28131	Prevotella intermedia	pit
281362	Dechloromonas denitrificans	dden
28141	Cronobacter sakazakii	esa
28152	Yersinia kristensenii	yki
28173	Vibrio nigripulchritudo	vni
28182	Leptospira noguchii	lno
28189	Capnocytophaga cynodegmi	ccyn
28229	Colwellia psychrerythraea	cps
28258	Cobetia marina	cmai
282676	Acidianus manzaensis	aman
283035	Sander lucioperca	sluc
283686	Kosakonia radicincitans	krd
283699	Pseudoalteromonas sp. Bsw20308	pbw
28377	Anolis carolinensis	acs
283942	Idiomarina loihiensis L2TR	ilo
2850	Phaeodactylum tricornutum	pti
28532	Tarenaya hassleriana	thj
285473	Streptomyces rubrolavendulae	srn
286419	Canis lupus dingo	clud
286727	Azospirillum oryzae	aoz
287	Pseudomonas aeruginosa	pae
28743	Cyprinodon variegatus	cvg
288000	Bradyrhizobium sp. BTAi1	bbt
288004	Beggiatoa leptomitoformis	blep
28885	Hydrogenovibrio marinus	hmar
28898	Campylobacter helveticus	chv
28903	Mycoplasma bovis	mbh
28985	Kluyveromyces lactis	kla
2903	Emiliania huxleyi	ehx
290317	Chlorobium phaeobacteroides DSM 266	cph
